Date,Open,High,Low,Close*,Adj Close**,Volume
"Aug 04, 2022","4,154.85","4,161.29","4,135.42","4,151.94","4,151.94","3,565,810,000"
"Aug 03, 2022","Aug 03, 2022","4,167.66","4,107.96","4,155.17","4,155.17","3,544,410,000"
"Aug 02, 2022","4,104.21","Aug 02, 2022","4,079.81","4,091.19","4,091.19","3,880,790,000"
"Aug 01, 2022","4,112.38","4,144.95","Aug 01, 2022","4,118.63","4,118.63","3,540,960,000"
"Jul 29, 2022","4,087.33","4,140.15","4,079.22","Jul 29, 2022","4,130.29","3,817,740,000"
"Jul 28, 2022","4,026.13","4,078.95","3,992.97","4,072.43","Jul 28, 2022","3,882,850,000"
"Jul 27, 2022","3,951.43","4,039.56","3,951.43","4,023.61","4,023.61","Jul 27, 2022"
"Jul 26, 2022","3,953.22","3,953.22","3,910.74","3,921.05","3,921.05","3,083,420,000"
"Jul 25, 2022","3,965.72","3,975.30","3,943.46","3,966.84","3,966.84","2,988,650,000"
"Jul 22, 2022","3,998.43","4,012.44","3,938.86","3,961.63","3,961.63","3,246,220,000"
"Jul 21, 2022","3,955.47","3,999.29","3,927.64","3,998.95","3,998.95","3,586,030,000"
"Jul 20, 2022","3,935.32","3,974.13","3,922.03","3,959.90","3,959.90","3,452,150,000"
"Jul 19, 2022","3,860.73","3,939.81","3,860.73","3,936.69","3,936.69","3,160,350,000"
"Jul 18, 2022","3,883.79","3,902.44","3,818.63","3,830.85","3,830.85","3,414,470,000"
"Jul 15, 2022","3,818.00","3,863.62","3,817.18","3,863.16","3,863.16","3,537,130,000"
"Jul 14, 2022","3,763.99","3,796.41","3,721.56","3,790.38","3,790.38","3,447,500,000"
"Jul 13, 2022","3,779.67","3,829.44","3,759.07","3,801.78","3,801.78","3,166,580,000"
"Jul 12, 2022","3,851.95","3,873.41","3,802.36","3,818.80","3,818.80","3,138,460,000"
"Jul 11, 2022","3,880.94","3,880.94","3,847.22","3,854.43","3,854.43","3,023,830,000"
"Jul 08, 2022","3,888.26","3,918.50","3,869.34","3,899.38","3,899.38","2,844,620,000"
"Jul 07, 2022","3,858.85","3,910.63","3,858.85","3,902.62","3,902.62","3,337,710,000"
"Jul 06, 2022","3,831.98","3,870.91","3,809.37","3,845.08","3,845.08","3,613,120,000"
"Jul 05, 2022","3,792.61","3,832.19","3,742.06","3,831.39","3,831.39","4,427,900,000"
"Jul 01, 2022","3,781.00","3,829.82","3,752.10","3,825.33","3,825.33","3,268,240,000"
"Jun 30, 2022","3,785.99","3,818.99","3,738.67","3,785.38","3,785.38","4,032,260,000"
"Jun 29, 2022","3,825.09","3,836.50","3,799.02","3,818.83","3,818.83","3,458,850,000"
"Jun 28, 2022","3,913.00","3,945.86","3,820.14","3,821.55","3,821.55","3,590,980,000"
"Jun 27, 2022","3,920.76","3,927.72","3,889.66","3,900.11","3,900.11","3,385,120,000"
"Jun 24, 2022","3,821.75","3,913.65","3,821.75","3,911.74","3,911.74","6,742,870,000"
"Jun 23, 2022","3,774.71","3,802.58","3,743.52","3,795.73","3,795.73","4,078,100,000"
"Jun 22, 2022","3,733.89","3,801.79","3,717.69","3,759.89","3,759.89","4,342,270,000"
"Jun 21, 2022","3,715.31","3,779.65","3,715.31","3,764.79","3,764.79","4,124,600,000"
"Jun 17, 2022","3,665.90","3,707.71","3,636.87","3,674.84","3,674.84","6,954,110,000"
"Jun 16, 2022","3,728.18","3,728.18","3,639.77","3,666.77","3,666.77","4,511,200,000"
"Jun 15, 2022","3,764.05","3,837.56","3,722.30","3,789.99","3,789.99","4,474,610,000"
"Jun 14, 2022","3,763.52","3,778.18","3,705.68","3,735.48","3,735.48","4,126,400,000"
"Jun 13, 2022","3,838.15","3,838.15","3,734.30","3,749.63","3,749.63","4,572,820,000"
"Jun 10, 2022","3,974.39","3,974.39","3,900.16","3,900.86","3,900.86","3,936,120,000"
"Jun 09, 2022","4,101.65","4,119.10","4,017.17","4,017.82","4,017.82","3,192,330,000"
"Jun 08, 2022","4,147.12","4,160.14","4,107.20","4,115.77","4,115.77","3,090,180,000"
"Jun 07, 2022","4,096.47","4,164.86","4,080.19","4,160.68","4,160.68","3,476,470,000"
"Jun 06, 2022","4,134.72","4,168.78","4,109.18","4,121.43","4,121.43","3,852,050,000"
"Jun 03, 2022","4,137.57","4,142.67","4,098.67","4,108.54","4,108.54","3,107,080,000"
"Jun 02, 2022","4,095.41","4,177.51","4,074.37","4,176.82","4,176.82","3,604,930,000"
"Jun 01, 2022","4,149.78","4,166.54","4,073.85","4,101.23","4,101.23","4,145,710,000"
"May 31, 2022","4,151.09","4,168.34","4,104.88","4,132.15","4,132.15","5,192,220,000"
"May 27, 2022","4,077.43","4,158.49","4,077.43","4,158.24","4,158.24","3,560,560,000"
"May 26, 2022","3,984.60","4,075.14","3,984.60","4,057.84","4,057.84","3,961,940,000"
"May 25, 2022","3,929.59","3,999.33","3,925.03","3,978.73","3,978.73","4,322,190,000"
"May 24, 2022","3,942.94","3,955.68","3,875.13","3,941.48","3,941.48","3,901,640,000"
"May 23, 2022","3,919.42","3,981.88","3,909.04","3,973.75","3,973.75","3,392,770,000"
"May 20, 2022","3,927.76","3,943.42","3,810.32","3,901.36","3,901.36","4,278,520,000"
"May 19, 2022","3,899.00","3,945.96","3,876.58","3,900.79","3,900.79","4,212,140,000"
"May 18, 2022","4,051.98","4,051.98","3,911.91","3,923.68","3,923.68","4,428,960,000"
"May 17, 2022","4,052.00","4,090.72","4,033.93","4,088.85","4,088.85","3,846,580,000"
"May 16, 2022","4,013.02","4,046.46","3,983.99","4,008.01","4,008.01","3,824,320,000"
"May 13, 2022","3,963.90","4,038.88","3,963.90","4,023.89","4,023.89","4,142,950,000"
"May 12, 2022","3,903.95","3,964.80","3,858.87","3,930.08","3,930.08","4,964,130,000"
"May 11, 2022","3,990.08","4,049.09","3,928.82","3,935.18","3,935.18","4,683,220,000"
"May 10, 2022","4,035.18","4,068.82","3,958.17","4,001.05","4,001.05","4,630,150,000"
"May 09, 2022","4,081.27","4,081.27","3,975.48","3,991.24","3,991.24","4,746,120,000"
"May 06, 2022","4,128.17","4,157.69","4,067.91","4,123.34","4,123.34","4,254,300,000"
"May 05, 2022","4,270.43","4,270.43","4,106.01","4,146.87","4,146.87","4,197,620,000"
"May 04, 2022","4,181.18","4,307.66","4,148.91","4,300.17","4,300.17","4,236,210,000"
"May 03, 2022","4,159.78","4,200.10","4,147.08","4,175.48","4,175.48","3,877,530,000"
"May 02, 2022","4,130.61","4,169.81","4,062.51","4,155.38","4,155.38","4,474,060,000"
"Apr 29, 2022","4,253.75","4,269.68","4,124.28","4,131.93","4,131.93","3,943,480,000"
"Apr 28, 2022","4,222.58","4,308.45","4,188.63","4,287.50","4,287.50","3,969,440,000"
"Apr 27, 2022","4,186.52","4,240.71","4,162.90","4,183.96","4,183.96","3,876,340,000"
"Apr 26, 2022","4,278.14","4,278.14","4,175.04","4,175.20","4,175.20","3,760,420,000"
"Apr 25, 2022","4,255.34","4,299.02","4,200.82","4,296.12","4,296.12","4,061,070,000"
"Apr 22, 2022","4,385.83","4,385.83","4,267.62","4,271.78","4,271.78","3,930,660,000"
"Apr 21, 2022","4,489.17","4,512.94","4,384.47","4,393.66","4,393.66","3,833,570,000"
"Apr 20, 2022","4,472.26","4,488.29","4,448.76","4,459.45","4,459.45","3,678,040,000"
"Apr 19, 2022","4,390.63","4,471.03","4,390.63","4,462.21","4,462.21","3,197,930,000"
"Apr 18, 2022","4,385.63","4,410.31","4,370.30","4,391.69","4,391.69","3,509,340,000"
"Apr 14, 2022","4,449.12","4,460.46","4,390.77","4,392.59","4,392.59","3,634,740,000"
"Apr 13, 2022","4,394.30","4,453.92","4,392.70","4,446.59","4,446.59","3,273,140,000"
"Apr 12, 2022","4,437.59","4,471.00","4,381.34","4,397.45","4,397.45","3,451,990,000"
"Apr 11, 2022","4,462.64","4,464.35","4,408.38","4,412.53","4,412.53","3,452,540,000"
"Apr 08, 2022","4,494.15","4,520.41","4,474.60","4,488.28","4,488.28","3,453,040,000"
"Apr 07, 2022","4,474.65","4,521.16","4,450.30","4,500.21","4,500.21","4,054,010,000"
"Apr 06, 2022","4,494.17","4,503.94","4,450.04","4,481.15","4,481.15","4,137,080,000"
"Apr 05, 2022","4,572.45","4,593.45","4,514.17","4,525.12","4,525.12","3,906,230,000"
"Apr 04, 2022","4,547.97","4,583.50","4,539.21","4,582.64","4,582.64","3,833,500,000"
"Apr 01, 2022","4,540.32","4,548.70","4,507.57","4,545.86","4,545.86","3,828,290,000"
"Mar 31, 2022","4,599.02","4,603.07","4,530.41","4,530.41","4,530.41","3,782,040,000"
"Mar 30, 2022","4,624.20","4,627.77","4,581.32","4,602.45","4,602.45","3,665,390,000"
"Mar 29, 2022","4,602.86","4,637.30","4,589.66","4,631.60","4,631.60","4,239,660,000"
"Mar 28, 2022","4,541.09","4,575.65","4,517.69","4,575.52","4,575.52","3,696,850,000"
"Mar 25, 2022","4,522.91","4,546.03","4,501.07","4,543.06","4,543.06","3,577,520,000"
"Mar 24, 2022","4,469.98","4,520.58","4,465.17","4,520.16","4,520.16","3,573,430,000"
"Mar 23, 2022","4,493.10","4,501.07","4,455.81","4,456.24","4,456.24","4,014,360,000"
"Mar 22, 2022","4,469.10","4,522.00","4,469.10","4,511.61","4,511.61","3,962,880,000"
"Mar 21, 2022","4,462.40","4,481.75","4,424.30","4,461.18","4,461.18","3,961,050,000"
"Mar 18, 2022","4,407.34","4,465.40","4,390.57","4,463.12","4,463.12","6,681,510,000"
"Mar 17, 2022","4,345.11","4,412.67","4,335.65","4,411.67","4,411.67","4,174,170,000"
"Mar 16, 2022","4,288.14","4,358.90","4,251.99","4,357.86","4,357.86","5,002,240,000"
"Mar 15, 2022","4,188.82","4,271.05","4,187.90","4,262.45","4,262.45","4,331,170,000"
"Mar 14, 2022","4,202.75","4,247.57","4,161.72","4,173.11","4,173.11","4,757,600,000"
